epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9352,1.73156,4.62728,1.92625,0,0,0,0,2.13628,5.02184,2.5166,5.88e-06,5.88e-06,5.88e-06
2,45.1994,1.58071,4.51022,1.80018,0,0,0,0,2.11238,5.0083,2.4442,1.44089e-05,1.44089e-05,1.44089e-05
1,38.2876,1.34095,4.4307,1.58293,0.03848,0.031,0.02502,0.0203,1.18512,4.0142,1.32989,9.60784e-05,9.60784e-05,9.60784e-05
2,59.5809,1.24335,4.00365,1.43662,0.0423,0.52711,0.09131,0.06038,1.2492,3.65529,1.41324,0.000193118,0.000193118,0.000193118
3,80.1592,1.27362,3.59781,1.46464,0.28844,0.24261,0.14647,0.09664,1.40633,3.05495,1.60422,0.000289187,0.000289187,0.000289187
4,100.816,1.33327,3.23035,1.51863,0.14666,0.28686,0.15371,0.09825,1.41048,2.87361,1.64312,0.000289634,0.000289634,0.000289634
5,121.679,1.35425,2.91679,1.51908,0.21383,0.28761,0.23024,0.1453,1.36409,2.59597,1.56248,0.000288179,0.000288179,0.000288179
6,144.713,1.28243,2.68147,1.47252,0.23209,0.36292,0.25644,0.16024,1.36173,2.58439,1.55537,0.000286723,0.000286723,0.000286723
7,167.692,1.28586,2.5368,1.4694,0.32338,0.33176,0.26267,0.17579,1.34963,2.44693,1.54393,0.000285268,0.000285268,0.000285268
8,190.493,1.26534,2.44011,1.45131,0.2729,0.35996,0.28015,0.17735,1.36246,2.33592,1.55316,0.000283813,0.000283813,0.000283813
9,213.493,1.25997,2.33269,1.44232,0.30006,0.38998,0.30815,0.19797,1.34236,2.23753,1.51639,0.000282358,0.000282358,0.000282358
10,236.268,1.2322,2.25949,1.4259,0.3011,0.37659,0.28991,0.18893,1.33353,2.26218,1.51655,0.000280902,0.000280902,0.000280902
11,259.454,1.23658,2.24144,1.42285,0.31654,0.39326,0.3278,0.21359,1.33639,2.09913,1.49157,0.000279447,0.000279447,0.000279447
12,282.685,1.20127,2.10433,1.40938,0.34601,0.42058,0.33411,0.21401,1.32051,2.11588,1.51405,0.000277992,0.000277992,0.000277992
13,305.617,1.21644,2.09687,1.41663,0.366,0.40549,0.36075,0.23266,1.32298,2.06361,1.50825,0.000276536,0.000276536,0.000276536
14,345.217,1.23377,2.03795,1.414,0.38889,0.39405,0.376,0.24355,1.33874,2.0569,1.52926,0.000275081,0.000275081,0.000275081
15,384.121,1.21444,1.96174,1.39029,0.4033,0.45312,0.38937,0.25396,1.30018,1.92132,1.49632,0.000273626,0.000273626,0.000273626
16,406.792,1.18658,1.90224,1.39344,0.36704,0.46707,0.39959,0.25514,1.34669,1.94348,1.53977,0.000272171,0.000272171,0.000272171
17,459.124,1.19977,1.86387,1.39773,0.41888,0.41868,0.38172,0.249,1.32755,1.96049,1.4994,0.000270715,0.000270715,0.000270715
18,481.846,1.17932,1.85286,1.3766,0.39978,0.44517,0.39234,0.25542,1.3065,1.89565,1.48705,0.00026926,0.00026926,0.00026926
19,522.191,1.156,1.77624,1.36286,0.37111,0.47762,0.39026,0.25187,1.30048,1.84313,1.487,0.000267805,0.000267805,0.000267805
20,544.753,1.17131,1.72263,1.37632,0.37988,0.45188,0.37966,0.24118,1.30353,1.97335,1.49375,0.000266349,0.000266349,0.000266349
21,571.302,1.15584,1.68946,1.36281,0.41902,0.47487,0.41715,0.27083,1.29976,1.84831,1.47152,0.000264894,0.000264894,0.000264894
22,596.252,1.14146,1.67622,1.35522,0.43651,0.48057,0.44097,0.28823,1.31304,1.83647,1.5007,0.000263439,0.000263439,0.000263439
23,619.239,1.15979,1.66321,1.3478,0.43783,0.42486,0.40917,0.2663,1.28919,1.90109,1.47878,0.000261983,0.000261983,0.000261983
24,646.094,1.15199,1.59544,1.34123,0.44169,0.46951,0.42301,0.27231,1.30389,1.89768,1.48205,0.000260528,0.000260528,0.000260528
25,676.094,1.12302,1.58826,1.34067,0.46958,0.39141,0.40673,0.26233,1.30824,1.9894,1.52508,0.000259073,0.000259073,0.000259073
26,698.815,1.13698,1.5827,1.35317,0.45551,0.44224,0.41472,0.26918,1.29395,1.95627,1.47489,0.000257617,0.000257617,0.000257617
27,738.443,1.13045,1.55131,1.33318,0.44993,0.41757,0.39643,0.25866,1.31468,1.9545,1.4987,0.000256162,0.000256162,0.000256162
28,768.195,1.14318,1.54483,1.34439,0.4495,0.45004,0.41727,0.27925,1.30258,1.93813,1.46479,0.000254707,0.000254707,0.000254707
29,800.53,1.12116,1.47922,1.33386,0.45023,0.45119,0.43781,0.29178,1.27852,1.78514,1.46319,0.000253252,0.000253252,0.000253252
30,840.514,1.10401,1.44954,1.32087,0.47717,0.43618,0.42133,0.27858,1.27392,1.8703,1.45682,0.000251796,0.000251796,0.000251796
31,863.31,1.1032,1.40526,1.30904,0.4967,0.4516,0.46679,0.30986,1.28455,1.72274,1.46049,0.000250341,0.000250341,0.000250341
32,903.166,1.11007,1.38966,1.31771,0.4554,0.43093,0.41567,0.2781,1.30389,1.93166,1.48022,0.000248886,0.000248886,0.000248886
33,925.584,1.1027,1.37633,1.32112,0.47726,0.4809,0.45416,0.30048,1.28992,1.80149,1.46075,0.00024743,0.00024743,0.00024743
34,947.953,1.10037,1.35596,1.31719,0.54198,0.40834,0.43417,0.29382,1.28329,1.8932,1.47257,0.000245975,0.000245975,0.000245975
35,970.387,1.09029,1.32423,1.3046,0.4121,0.43754,0.41071,0.26809,1.30242,1.98233,1.49305,0.00024452,0.00024452,0.00024452
36,992.855,1.08971,1.34116,1.31675,0.43585,0.46148,0.42842,0.28519,1.28384,1.82845,1.46553,0.000243064,0.000243064,0.000243064
37,1015.39,1.08059,1.30992,1.30333,0.52054,0.42719,0.44717,0.29637,1.30145,1.81422,1.47558,0.000241609,0.000241609,0.000241609
38,1037.79,1.07443,1.29427,1.29522,0.45581,0.47355,0.44342,0.29669,1.28818,1.82866,1.4728,0.000240154,0.000240154,0.000240154
39,1060.52,1.06531,1.28616,1.29447,0.44999,0.43259,0.42165,0.27921,1.28202,1.88553,1.48051,0.000238699,0.000238699,0.000238699
40,1082.6,1.08457,1.243,1.2928,0.46869,0.44543,0.43564,0.29245,1.28837,1.90237,1.47724,0.000237243,0.000237243,0.000237243
41,1104.71,1.06869,1.21544,1.28481,0.44788,0.47426,0.43862,0.28895,1.29514,1.95421,1.46786,0.000235788,0.000235788,0.000235788
42,1126.86,1.04236,1.18477,1.27192,0.44857,0.48513,0.4507,0.30419,1.29497,1.81935,1.48092,0.000234333,0.000234333,0.000234333
43,1149.68,1.04821,1.18865,1.27687,0.46519,0.48167,0.44852,0.29593,1.29595,1.82939,1.47176,0.000232877,0.000232877,0.000232877
44,1172.25,1.06373,1.18097,1.27801,0.50878,0.45491,0.45109,0.30305,1.30246,1.85156,1.4735,0.000231422,0.000231422,0.000231422
45,1195,1.03785,1.2023,1.27681,0.44236,0.493,0.42803,0.28253,1.28887,1.8833,1.488,0.000229967,0.000229967,0.000229967
46,1217.25,1.03925,1.19785,1.27635,0.40735,0.50436,0.44701,0.29718,1.30127,1.89829,1.47369,0.000228511,0.000228511,0.000228511
47,1239.48,1.06305,1.14922,1.27446,0.49317,0.47261,0.45587,0.30205,1.30879,1.86739,1.49067,0.000227056,0.000227056,0.000227056
48,1261.69,1.03833,1.12883,1.26471,0.43986,0.4928,0.44463,0.29496,1.31545,1.90081,1.49912,0.000225601,0.000225601,0.000225601
49,1284.34,1.04048,1.11253,1.26232,0.5072,0.44141,0.4654,0.30308,1.34181,1.83441,1.50514,0.000224146,0.000224146,0.000224146
50,1306.76,1.04191,1.09306,1.25753,0.4915,0.4649,0.45501,0.30741,1.30885,1.88024,1.48251,0.00022269,0.00022269,0.00022269
51,1329.45,1.02984,1.10628,1.25704,0.45505,0.4268,0.42942,0.28717,1.32105,1.9638,1.50683,0.000221235,0.000221235,0.000221235
52,1351.94,1.01951,1.07666,1.24872,0.43877,0.46383,0.43614,0.29521,1.31159,1.90069,1.49899,0.00021978,0.00021978,0.00021978
53,1374.41,1.02088,1.06799,1.25473,0.49996,0.45265,0.45898,0.30929,1.28272,1.85619,1.47298,0.000218324,0.000218324,0.000218324
54,1396.71,1.00661,1.05436,1.25078,0.46701,0.46617,0.44586,0.29332,1.31264,1.8773,1.48575,0.000216869,0.000216869,0.000216869
55,1419.01,1.02078,1.04303,1.25227,0.48909,0.46001,0.44884,0.29948,1.31731,1.90832,1.4913,0.000215414,0.000215414,0.000215414
56,1441.34,1.01814,1.03541,1.24375,0.45164,0.4525,0.42179,0.2806,1.3097,1.98408,1.47946,0.000213958,0.000213958,0.000213958
57,1463.56,1.00693,1.025,1.23699,0.47758,0.47021,0.45221,0.29612,1.33114,1.86826,1.5031,0.000212503,0.000212503,0.000212503
58,1485.99,0.99979,0.9897,1.23111,0.45652,0.47281,0.43877,0.29299,1.29439,1.94055,1.47164,0.000211048,0.000211048,0.000211048
59,1508.7,0.99101,1.011,1.23107,0.45179,0.46638,0.43233,0.29198,1.30068,1.945,1.48367,0.000209593,0.000209593,0.000209593
60,1531.27,0.98345,0.98729,1.23174,0.47097,0.47818,0.4554,0.30445,1.305,1.86236,1.49031,0.000208137,0.000208137,0.000208137
61,1553.55,1.00379,1.00035,1.23417,0.4491,0.46295,0.44344,0.29753,1.31337,1.96682,1.49355,0.000206682,0.000206682,0.000206682
62,1575.65,0.98168,0.97503,1.23135,0.46525,0.45561,0.44788,0.29683,1.32845,1.93914,1.49683,0.000205227,0.000205227,0.000205227
63,1597.81,0.98417,0.95946,1.21814,0.51747,0.45015,0.44342,0.2858,1.32532,1.91601,1.50566,0.000203771,0.000203771,0.000203771
64,1620.24,0.98324,0.96485,1.23053,0.47279,0.45922,0.45635,0.30444,1.31187,1.8696,1.49024,0.000202316,0.000202316,0.000202316
65,1642.43,0.97185,0.93533,1.21392,0.48059,0.47516,0.45423,0.2978,1.34487,1.94594,1.51558,0.000200861,0.000200861,0.000200861
66,1665,0.96675,0.93252,1.21944,0.50172,0.45025,0.4335,0.28816,1.30429,1.97605,1.50066,0.000199406,0.000199406,0.000199406
67,1687.34,0.97292,0.93651,1.22095,0.49588,0.44656,0.4495,0.29853,1.32609,1.8966,1.51483,0.00019795,0.00019795,0.00019795
68,1709.86,0.95267,0.92395,1.21547,0.45931,0.49677,0.4461,0.29602,1.32909,1.94102,1.51721,0.000196495,0.000196495,0.000196495
69,1732.57,0.95715,0.91229,1.20628,0.49585,0.46784,0.44435,0.29479,1.33055,2.01961,1.52484,0.00019504,0.00019504,0.00019504
70,1754.86,0.96522,0.90942,1.21473,0.46926,0.4812,0.44803,0.29914,1.33988,1.88655,1.51829,0.000193584,0.000193584,0.000193584
71,1777.2,0.9604,0.90419,1.21088,0.4712,0.45431,0.43109,0.28717,1.32124,2.03351,1.50212,0.000192129,0.000192129,0.000192129
72,1799.48,0.93981,0.89435,1.20159,0.46048,0.47774,0.44565,0.29789,1.33823,1.91899,1.52048,0.000190674,0.000190674,0.000190674
73,1821.92,0.94402,0.89271,1.20129,0.47169,0.47188,0.44106,0.29303,1.32692,1.98819,1.50918,0.000189218,0.000189218,0.000189218
74,1844.2,0.93071,0.87438,1.20026,0.50971,0.4511,0.43849,0.29536,1.30503,1.95544,1.51069,0.000187763,0.000187763,0.000187763
75,1866.62,0.95648,0.87361,1.20211,0.53415,0.44471,0.44142,0.29642,1.32004,1.94947,1.51104,0.000186308,0.000186308,0.000186308
76,1888.92,0.96158,0.90167,1.21833,0.4721,0.45561,0.44303,0.29715,1.31791,1.95675,1.50461,0.000184853,0.000184853,0.000184853
77,1911.16,0.93472,0.87638,1.19739,0.51782,0.44118,0.44012,0.29666,1.32023,1.95933,1.50038,0.000183397,0.000183397,0.000183397
78,1933.18,0.91374,0.84371,1.17933,0.44325,0.45995,0.42283,0.28049,1.33426,2.03954,1.51308,0.000181942,0.000181942,0.000181942
79,1955.18,0.92714,0.85258,1.19371,0.51972,0.42498,0.42374,0.28359,1.33362,2.0895,1.51381,0.000180487,0.000180487,0.000180487
80,1977.37,0.92146,0.8482,1.1792,0.45367,0.47057,0.42831,0.28917,1.32566,2.01946,1.52158,0.000179031,0.000179031,0.000179031
81,1999.7,0.91667,0.82869,1.18781,0.49302,0.44381,0.43554,0.29072,1.32641,2.00208,1.51984,0.000177576,0.000177576,0.000177576
82,2021.9,0.93199,0.83107,1.17824,0.46957,0.46335,0.44491,0.29455,1.33988,1.95984,1.51637,0.000176121,0.000176121,0.000176121
83,2044.63,0.90758,0.83904,1.17919,0.46906,0.45217,0.43421,0.28881,1.33383,1.9984,1.52691,0.000174665,0.000174665,0.000174665
84,2067.21,0.90945,0.82864,1.18053,0.51433,0.43775,0.43973,0.29226,1.34662,1.94211,1.5146,0.00017321,0.00017321,0.00017321
85,2089.62,0.90572,0.81613,1.18235,0.52159,0.4426,0.45015,0.30013,1.33281,2.03963,1.51139,0.000171755,0.000171755,0.000171755
86,2112,0.92515,0.82573,1.17908,0.50419,0.46715,0.45529,0.3057,1.3361,2.02109,1.50192,0.000170299,0.000170299,0.000170299
87,2134.47,0.89043,0.7997,1.17375,0.49521,0.47005,0.45435,0.30451,1.33225,1.96974,1.51443,0.000168844,0.000168844,0.000168844
88,2156.73,0.89981,0.79903,1.17283,0.52849,0.43919,0.45822,0.303,1.34158,1.98477,1.52217,0.000167389,0.000167389,0.000167389
89,2179.21,0.89369,0.81101,1.16904,0.54666,0.42518,0.43983,0.29438,1.3453,2.05674,1.54483,0.000165934,0.000165934,0.000165934
90,2201.6,0.9035,0.80782,1.18229,0.48719,0.45843,0.44091,0.29349,1.32406,2.06038,1.51965,0.000164478,0.000164478,0.000164478
91,2224,0.90066,0.79483,1.1686,0.5091,0.45989,0.44653,0.29806,1.32978,2.00391,1.50728,0.000163023,0.000163023,0.000163023
92,2246.36,0.88026,0.77311,1.15591,0.53123,0.44054,0.43826,0.29751,1.3132,2.02812,1.4984,0.000161568,0.000161568,0.000161568
